직무명,회사명,위치,경력,주요업무,자격요건,우대사항
[SWING] 데이터 분석가(Data Analyst),더스윙,서울 용산구,경력 3-10년,"주요업무
[DATA팀으로 합류하시면 아래와 같은 업무를 하시게 됩니다 :)]

• 여러 팀(운영, 개발, 마케팅 등)과 협력하여 비즈니스 목표에 맞는 데이터 분석 과제를 도출하고 해결
• 제품 및 서비스에서 생성된 방대한 데이터를 탐색적으로 분석하고, 문제 해결 및 성장을 위한 데이터 설계
• 데이터 분석을 통해 도출된 인사이트를 기반으로 다양한 가설을 정의하고 검증
• A/B 테스트 등 실험 설계 및 결과 분석을 통해 실질적인 비즈니스 성과로 연결
• 핵심 성과 지표(KPI)를 정의하고, 이를 추적하기 위한 시각화 도구(대시보드 등) 제작","자격요건
[아래와 같은 자격을 갖추신 분들을 찾고 있어요!]

• 1년 이상의 데이터 분석 경험, 실제 제품 또는 서비스 개선을 위해 데이터를 활용한 경험이 있으신 분
• 문제 해결을 위한 다양한 가설을 세우고, 이를 데이터로 검증해 본 경험
• 독립적으로 실험을 설계하고 결과를 분석할 수 있는 능력
• Python, SQL 등의 프로그래밍 언어 또는 데이터 도구를 능숙하게 다룰 수 있는 능력
• 데이터 기반 인사이트를 이해하기 쉽게 전달할 수 있는 뛰어난 커뮤니케이션 능력","우대사항
[필수 사항은 아니지만 아래의 요건을 갖추셨다면 더욱 좋습니다!]

• BigQuery 또는 SparkSQL을 활용한 데이터 분석 경험
• IoT 데이터, 위치 기반 데이터, 사용자 행동 데이터 분석 경험
• 모빌리티 서비스에 대한 관심 및 이해
• A/B 테스트와 인과 추론에 대한 통계적 이해"
Data Scientist,빅밸류,서울 중구,신입-경력 5년,"주요업무
• 데이터 파이프라인 설계
• 부동산 시세 알고리즘 연구개발
• 매출 예측 알고리즘 연구개발
• 부동산 사업자 선정 및 사업성 분석 서비스 연구개발","자격요건
• 경력 : 무관
• 공간 빅데이터, 인공지능 기술 전반에 대해 많은 관심이 있는 분
• 해외 출장에 결격사유가 없는 분","우대사항
• 공간 데이터 활용 프로젝트 경험자
• 통계학, 컴퓨터공학, 데이터사이언스, 산업공학, 부동산학, 도시공학, 건축학 석사 이상 전공자
• 데이터사이언스, 데이터마이닝 프로젝트 경험자
• 적극적인 커뮤니케이션 능력을 갖추신 분
• 다양한 분석 결과를 이해하기 쉽게 설명하실 수 있는 분"
Data Analyst,아임웹,서울 강남구,경력 3-12년,"주요업무
다양한 사내의 데이터 수요에 대응하여, 목적에 맞는 적절한 측정 지표를 수립하고 데이터를 제공해요.
• SQL과 Python을 사용하여 데이터를 추출하고 전처리하여, 시각화와 분석을 통해 비즈니스와 고객에게 도움이 되는 인사이트를 발굴해요.
• 데이터를 통해 전달해야 하는 중요한 정보를 효율적으로 시각화하여, 대시보드를 구축하고 운영(Tableau, Redash)해요.
• 데이터 엔지니어와 협업하여 Data Warehouse와 Data Mart에 적재할 데이터를 모델링하고, 처리하는 프로세스를 구현해요.
• 오너십을 가지고 데이터와 근거 기반으로 일하는 문화와 환경을 구축해요.","자격요건
• 이커머스와 SaaS의 주요 지표와 분석 방법론에 대한 높은 이해도 (GMV, MRR, LTV, Cohort, Retention 등)를 가지신 분
• 기초통계학 지식이 있는 분
• 분석과 데이터 전처리 과정에서 필요한 SQL, Python 사용에 능숙하신 분
• 비즈니스적인 관점에서 데이터를 이해하고, 크고 작은 의사결정과 action item 도출까지 논리적이고 분석적으로 사고하실 수 있는 분
• 데이터 비전문가에게도 필요한 내용을 쉽게 이해시키고 전달할 수 있는 커뮤니케이션 능력이 있는 분","우대사항
• Mixpanel, Amplitude와 같은 PA툴 활용 경험이 있으신 분
• 데이터 시각화에 대한 전문성과 높은 이해도 및 BI툴 활용 경험(Tableau, Redash, Superset)이 있으신 분
• 데이터 엔지니어링에 대한 기초적인 지식 또는 Airflow DAG 작성 경험이 있으신 분
• 병렬 및 분산처리 기반의 라이브러리를 사용한 빅데이터분석 경험이 있으신 분"
마케팅 데이터분석가(Business Analyst) (3년 이상),우아한청년들,서울 송파구,경력 3-8년,"주요업무
• 광고 채널, 지역에 대한 라이더 획득 비용, 라이더 생애 가치 분석
• 광고/프로모션 분석을 통한 마케팅 지표 개발
• 채널/지역 별 퍼널, 코호트 분석 및 대시보드 설계
• 의사결정을 위한 비즈니스 인사이트 도출 및 KPI 리포팅","자격요건
• 3년 이상 SQL을 활용한 데이터 분석 경험을 보유하신 분
• 기초 통계 및 마케팅/프로모션에 대한 이해가 있으신 분
• 데이터 분석 결과 기반으로 효과적인 개선활동 경험을 보유하신 분
• 내/외부 다양한 구성원들과 빠르고 정확한 커뮤니케이션을 할 수 있는 분","우대사항
• O2O서비스 및 배달 부업 플랫폼에 대한 이해도가 높으신 분
• 마케팅 캠페인 성과 및 비용에 대한 분석 경험이 있으신 분"
BI팀 데이터 분석가,컬리,서울 강남구,경력 5-10년,"주요업무
• 프로덕트 기능 개선을 위한 로그 설계, AB 테스트, 성과 분석 수행
• 다양한 마트를 설계 및 적재하고 대시보드, 알람 등의 프로덕트를 만들어 제공
• 축적된 데이터를 기반으로 비즈니스 문제를 발굴하고 심도깊은 데이터 분석을 통해 해결안을 제안","자격요건
• 유관 업무 경력 5년 이상이신 분
• 통계학 기본 지식을 보유한 분
• SQL에 대한 경험, 논리적 사고를 기반으로 하여 가독성 높게 쿼리를 작성하시는 분","우대사항
• Tableau와 같은 BI 툴을 사용한 데이터 시각화 경험이 있으신 분
• Git을 통한 코드 관리에 익숙하고 Airflow를 활용하여 Data Warehouse 구축 경험이 있으신 분
• Phtyon, R 등을 이용한 데이터 가공 및 분석 경험이 있으신 분
• 커머스, 물류 또는 로그 분석 프로젝트의 경험이 있으신 분
• 컴퓨터 공학, 통계학, 산업공학 등 관련 학위 보유하신 분"
Data Analyst (데이터분석가),앳홈,서울 성동구,경력 3-8년,"주요업무
• 다양한 채널에서 발생하는 매출/비용 데이터를 안정적으로 수집/적재하기 위한 데이터 파이프라인을 구축합니다.
• 마켓/트렌드 정보를 적시에 활용할 수 있도록 다양한 소스의 데이터를 크롤링/스크래핑 등의 방법으로 수집합니다.
• 효율적인 데이터 활용 환경 구축을 위해 데이터 마트 구조를 개선해 나갑니다.
• 앳홈팀의 데이터 접근 장벽을 허물고 손쉬운 데이터 활용이 가능하도록 대시보드를 제작합니다.
• 앳홈팀의 정보 공백을 최소화하기 위해 핵심 정보는 슬랙 메시지나 이메일로 자동화하여 발송합니다.
• 단순한 정보 제공에 그치지 않고, 실무에 활용 가능한 인사이트 제공을 위해 애드혹 분석을 꾸준히 진행합니다.
• 앳홈팀의 자산을 효과적으로 활용하기 위해 매출과 적정 재고 수준 등을 예측하는 모델을 만들고 고도화하는 작업을 수행합니다.","자격요건
• 3년 이상의 데이터 분석 업무 경험이 있으신 분
• SQL을 활용한 데이터 추출 및 가공 경험이 있으신 분
• Tableau 등의 BI 툴을 활용한 대시보드 제작 경험이 있으신 분
• Python을 활용한 데이터 분석 혹은 모델링 경험이 있으신 분
• 통계, 머신러닝에 대한 기본적인 지식이나 학습 경험이 있으신 분
• 분석 결과를 명확하고 간결하게 전달할 수 있는 커뮤니케이션 능력이 있으신 분","우대사항
• 스크래핑/크롤링을 통해 데이터를 수집하고 실무에 활용해보신 분
• 생활가전/뷰티/헬스푸드 제품에 대한 이해가 있거나 관련 비즈니스 분석 경험이 있으신 분
• 시계열 예측 모델링 경험 혹은 예측 결과물을 실무에 활용해본 경험이 있으신 분
• Airflow, Google Cloud 서비스 등을 활용한 데이터 파이프라인 구축 경험이 있으신 분"
3PL 영업 데이터 분석가(Business Analyst) (3년 이상),우아한청년들,서울 송파구,경력 3년 이상,"주요업무
• 데이터 분석을 통한 3PL 서비스의 고도화 및 실적 개선 방안 도출
• 3PL 사업계획 수립 및 관리에 필요한 데이터 분석 업무 수행
• 데이터의 추출 및 분석 지원
• 신규 지표 정의, 지표 관리 및 시각화
• 프로세스 개선을 위한 지표 분석 및 실행 계획 수립, 유관부서와의 커뮤니케이션","자격요건
• 3년이상 SQL활용한 데이터 추출 및 Excel 데이터 분석 경험을 보유 하신 분
• 데이터 분석을 통한 개선 프로젝트를 주도적으로 이끌어 본 경험이 있으신 분
• 분석결과를 근거로 논리적 추론 및 인사이트를 도출하여 문제를 해결해 본 경험이 있으신 분","우대사항
• 데이터 분석 관련 전공을 이수하신 분
• 데이터 시각화 툴(Tableau, Redash) 활용 경험을 보유하신 분
• IT 플랫폼, 유통/물류, 커머스 등 유관 업종에서의 업무 경력과 비즈니스 이해도가 있으신 분
• 2년이상 사업 운영/관리 관련 경험을 보유하신 분"
[잡플래닛] Data Analyst,브레인커머스,서울 강남구,경력 5-13년,"주요업무
• WBR(Weekly Business Review)을 전후로 지표를 분석하고 경영진과 의사결정권자들에게 리포트합니다.
• OKR 설정을 위한 프로덕트 및 비즈니스에 대한 전반적인 분석을 진행합니다.
• 데이터 분석을 통해 서비스의 방향을 설정하고 유관부서를 설득합니다.
• 주요 KPI 목표 달성을 위해 가설을 세워 실험을 통해 데이터 기반으로 서비스를 개선합니다.
• 프로덕트 및 비즈니스 팀과 긴밀하게 협업하여 Metrics 를 추적하고, 시각화하여 이해관계자에게 공유합니다.
• 서비스 사용 패턴을 파악하기 위한 데이터 로그를 설계하고 관리합니다.
• 데이터 프로덕트를 위한 선행적인 데이터 수집, 분석, 모델링, 의사 결정을 진행합니다.","자격요건
• 확률/통계의 지식이 있으며 5년 이상의 데이터 분석 경험이 있는 분
• SQL을 사용해 직접 데이터를 추출하고 정제할 수 있는 분
• Excel, Python, R 를 사용해서 추출된 데이터를 자유롭게 가공하고, 시각화 할 수 있는 분
• 마케팅 또는 세일즈 데이터 분석 경험이 있으신 분
• 프로덕트 및 비즈니스 핵심 지표를 설정하고, 지표 성장을 위해 다양한 가설을 세우고 실험하여 직접 서비스를 개선해보신 분
• 가설 검증을 위한 A/B 또는 MAB 테스트를 설계하고 결과를 분석하여 프로덕트에 적용한 경험이 있으신 분
• 퍼널 분석, 리텐션 분석, 코호트 분석 등 프로덕트 데이터 분석 방법에 대한 이해도가 높으신 분
• 항상 배우고 공유하고자 하는 열정이 있으며, 자기 동기 부여가 가능한 성실하고 책임감 있는 분","우대사항
• Data Science, Applied Science, Econometrics, Operational Research, Statistics 석/박사 학위 혹은 동등한 경력을 소지하신분
• OKR, KPI 개발 및 유지 관리를 경험해보신 분
• 분석에 알고리즘, Machine Learning을 적극적으로 사용하시는 분
• 프로그램과 Gen AI을 활용한 분석 자동화에 경험이 있거나 관심이 크신 분
• Amplitude, Braze, Appsflyer 등의 PA, MMP Tool 사용 경험이 있는 분
• 사내 구성원들의 데이터 리터러시 함양에 영향을 주었던 경험이 있는 분"
데이터 분석가 (Business Analyst),와디즈,경기 성남시,경력 3-10년,"주요업무
[데이터 분석가는 이런 일을 해요.]
· 비지니스/서비스/제품/비용/매출에 대한 분석을 하고 인사이트와 전략을 제안해요.
· 인사이트를 효율적으로 전달하기 위한 시각화 작업을 해요.
· 영업/프로모션 관련 구글 스프레드시트를 활용한 운영 프로세스 구축 및 관리를 해요.


[합류한다면 이런 일들을 경험하며 성장할 수 있어요.]
데이터분석에서 끝나는 것이 아니라 그것을 제안하고 실행하는 것 까지 1개 팀에서 관할하고 있어요.
그렇기 때문에 ① 데이터 인사이트가 어떻게 적용되는지 ② 실행단에서 문제가 무엇인지 ③ 피드백 후 그것을 보완하는 방향은 무엇인지까지 고민하고, 실제 비즈니스현장에서의 성과까지 볼 수 있는 장점이 있어요.","자격요건
[우리는 이런 분들을 찾고 있어요.]
· 데이터 관련 경력 3년 이상 보유하신 분
· SQL을 활용한 데이터 추출/가공/분석이 가능하신 분
· Redash, Lookerstudio, Tableau 등 데이터 시각화 툴 사용 경험이 있으신 분
· 엑셀, Google Spreadsheet 상급 수준 활용 가능하신 분","우대사항
[이러한 분이시라면 더욱 좋아요.]
· API활용, 스크래핑, 자동화 등 Python 활용 능력을 보유하신 분
· 통계 분석, 인과관계 분석, 코호트 분석 등의 방법론 사용 경험이 있으신 분


[지원서 작성 시 아래 추가질문을 함께 작성해주세요.]
• 지원자님이 생각하시는 와디즈는 어떤 회사인가요? 왜 와디즈에서 함께 하고 싶은 마음이 드셨나요?
• 와디즈가 하고 있는 일을 살펴 보셨나요? 내가 합류해서 꼭 해보고 싶은 일이 있다면 기록해 주세요."
Data Analyst/Data Scientist,쏘카(SOCAR),서울 성동구,경력 2-7년,"주요업무
[쏘카 Data Analyst / Data Scientist 업무를 소개합니다]
• 데이터 분석 및 제품 기획
• 다양한 소스(차량, 앱/웹, 고객, 위치, 교통, 날씨 등)의 데이터를 연결해 분석
• 데이터 제품(솔루션)이 창출할 수 있는 비즈니스적 가치를 식별
• 액션 가능한 아이디어나 인사이트를 도출하고, 이해관계자와 합의한 아이디어를 직접 제품으로 구현하여 성과 확인
• 예시
• 메트릭 스토어 : 크로스셀링 전략 발굴을 위한 고객 당 LTV 정의 및 추출
• 고객 분류 모델 개발 : 손익 및 고객 경험 관리에 영향을 미치는 고객의 피쳐 발굴 및 태깅
• 존 수요 지도 : 차량의 최적 배치를 위한 수요/공급 시각화
• 정차지 분석 플랫폼 : 고객의 이동 맥락과 목적을 파악하기 위한 데이터 분석 플랫폼
• 비즈니스 성장 및 최적화
• 비즈니스(매출, 수익 관점)를 성장시킬 수 있는 데이터 프로젝트 자체 발굴 및 실행
• 사업 부서와의 긴밀한 협업 및 데이터 활용 사업 운영(판매 전략 수립 및 정책 개선 등)
• 카셰어링 가격 최적화(다이나믹 프라이싱 전략 개발 및 실행) 및 수익 극대화
• 시스템(대여 가격 시스템, 면책 요금 시스템)의 운영 및 고도화 및 기타 과금 체계 운영
• 전사 지표 기획 및 관리
• 비즈니스 데이터를 구조화하여 복잡한 상황에서 의사결정을 내릴 수 있는 전사 공통의 이해 제공
• 상호 연관성이 있는 비즈니스 액션을 포괄적으로 평가할 수 있는 지표의 위계 설정
• 제품 또는 서비스의 정량적 성과 측정으로 전략적 방향성 도출","자격요건
[이런 분과 함께 성장하고 싶습니다]
• 주도적으로 문제를 정의하고, 논리적으로 해결하는 분
• 데이터를 활용해 비즈니스를 개선하여 실제 수치적 성과를 만들어낸 경험이 있는 분
• A/B 테스트에 대한 통계적 이해가 있는 분
• 앱/웹 데이터 로깅 기획 및 분석을 통해 서비스를 개선한 경험이 있는 분","우대사항
[이런 분이면 더욱 좋습니다]
• 온디맨드 또는 공유 경제를 다루는 서비스 경험이 있는 분
• 수요 예측, 통계적 사고 및 인과 추론에 의한 문제 해결 경험이 있는 분
• 가격 탄력성, 시계열 모델링 등에 역량이 있는 분
• GIS 데이터를 추출하고 정제하여 실무에 활용한 경험이 있는 분
• 차량 센서 데이터에 대한 이해가 있는 분
• 소프트웨어 개발 경험이 있는 분
• Airflow, DBT 등을 활용한 데이터 파이프라인 구축 또는 운영 경험이 있는 분
• 딥러닝, 머신러닝 모델 개발 경험이 있는 분

[이런 고민을 하며 나아갑니다]
• “차량 보유량과 예상되는 수요 고려 시 어느 정도 가격 수준으로 판매해야 대당 매출을 극대화할 수 있을까?”
• “서울시 은평구에 몇 대의 차량을 운영하면 차량 당 매출이 가장 효율적으로 발생할까?”
• “서비스 질을 유지하며, 비용을 감소시킬 수 있는 방법을 찾을 수 있을까?”
• “고객이 국내 여행을 고려할 때 가장 먼저 방문하는 서비스가 되려면 어떠한 개선이 필요할까?”
• “쏘카가 아직 유저에게 제공하지 못하는 가치는 어떤 것들 있을까? 좋은 유저 경험은 어떤 지표로 측정해야 할까?”
• “위와 같은 모든 사례들을 수치로 증명하기 위해서는 어떤 방법으로 테스트를 설계하고 분석하면 좋을까?”

[동료의 한마디]
• 전사적으로 데이터 기반 의사 결정 문화가 자리 잡고 있고, 데이터 분석 환경이 잘 구축되어 있어 데이터를 마음껏 분석할 수 있어요!
• 동료들과 자유롭게 아이디어를 교환하고 활발히 질의할 수 있는 수평적이면서도 열정적인 업무 환경이에요.
• 핵심 역량을 개발할 수 있어요! 팀장님과 상의해서 자신의 핵심 역량을 프로젝트에 녹여낼 수 있어요.
• 다양하고 복잡한 문제를 팀원들과 함께 해결하며 성장하는 재미가 있어요!"
[Strategy] 데이터 분석가 (신입),샌드박스네트워크(Sandbox),서울 용산구,신입,"주요업무
• 채널 및 콘텐츠 분석을 통해 핵심 지표를 도출하고 리포트를 제공합니다.
• 시장 및 경쟁사 리서치를 통해 데이터 기반 인사이트를 제공합니다.
• 시장에 대한 분석을 토대로 경쟁력 있는 크리에이터 영입 전략 수립에 기여합니다.
• 전사 사업 데이터를 유관부서에서 잘 활용될 수 있도록 관리합니다.
• 사업 부서 니즈를 기반으로, 필요한 데이터 대시보드 제작 및 데이터 분석을 진행합니다.","자격요건
• 4년제 대학교 졸업 혹은 졸업예정이신 분
• 데이터 및 ML 업무에 필요한 선형대수학과 확률론, 통계학 지식을 갖추신 분
• 플랫폼 기반의 기업에서 데이터 추출 가공, 분석 경험이 있는 분
• 쿼리 언어(SQL)와 스크립트 언어(Python) 활용이 가능하신 분
• AWS redash, 등 BI툴을 활용해 대시보드 구축을 해보신 분
• 경쟁사 및 시장에 대한 리서치를 통해 인사이트를 도출 할 수 있으신 분
• 한정된 자원 내에서 가설을 검증하고, 솔루션을 도출하는 데에 재미를 느끼시는 분
• 주어진 업무에 한정하지 않고 스스로 문제를 정의하고 더 나은 방안을 고민하시는 분
• 콘텐츠 및 크리에이터 시장에 대한 높은 이해도와 존중의 태도가 있으신 분","우대사항
• PyTorch나 TensorFlow 등 ML Framework의 내부 동작에 높은 이해가 있으신 분
• ML 연구 및 프로젝트 리딩 경험이 있으신 분
• Kaggle, 데이콘 등 Competition 경험 또는 Notebook 작성 경험이 있으신 분
• Data visualization, Data EDA에 능숙하신 분
• AWS 환경에서 데이터 분석을 수행한 경험이 있으신 분
• 다양한 정량, 정성 데이터로 크리에이터를 분석하는 일에 흥미를 느끼시는 분
• 변화에 유연하게 대처할 수 있는 긍정적인 마인드와 회복탄력성을 갖추고 있으신 분"
데이터 분석가(Data Analyst): 3년 이내,그린랩스,서울 송파구,경력 1-3년,"주요업무
프로덕트 전반에 관한 지표 정의 및 설계
대시보드 구축 및 운영
제품, 마케팅 영역에 관한 정량 분석
PM/마케터/데이터 엔지니어와의 협업 및 지원
데이터마트 설계 및 운영","자격요건
3년 이내의 데이터 분석 업무 경험이 있는 분
SQL을 활용하여 데이터 추출, 전처리할 수 있는 분
데이터를 활용하여 논리적으로 접근할 수 있는 분
데이터 분석 방법(퍼널 분석, 코호트 분석, 리텐션)에 관한 이해도가 있으신 분
가설 기반으로 A/B 테스트를 설계하고 분석해 본 분","우대사항
주도적으로 데이터 분석을 통해 인사이트 도출, 전략 제안을 할 수 있는 분 (업무/일상 모두 포함)
분석 결과를 동료에게 잘 전달할 수 있는 분
클라우드 환경 경험이 있는 분 (빅쿼리, AWS 등)
시각화 도구 활용 능력이 있는 분 (루커 스튜디오, 구글 스프레드 시트 등)
콘텐츠, 이커머스, O2O 도메인에 관한 경험이 있는 분"
데이터 분석가(Data Analyst),엔비티(NBT),서울 서초구,경력 5-9년,"주요업무
DevOps 팀을 소개합니다.

DevOps 팀은 클라우드, 서비스 구축/ 운영, 정보보호, 개인정보보호, 데이터 플랫폼 등 NBT의 인프라 전반을 책임집니다. NBT는 애디슨 오퍼월, 캐시슬라이드를 비롯해 스텝업, 캐시피드, 칩스, 쇼핑적립 등을 사용하는 2,500만 유저들이 안심하고 서비스를 이용할 수 있도록 정보보호관리체계(ISMS)를 기반으로 예측되는 모든 위협을 식별하고 나아가 위험관리를 수행합니다.
다양한 서비스를 제공하는 만큼 안정적인 서비스 제공을 위해 멀티 클라우드(AWS, GCP)를 적극 활용하고, CI/CD를 기반으로 빠르고 안정적인 서비스 배포와 인프라 전반의 이슈를 모니터링하며 운영합니다. 데이터 중심의 서비스를 만들기 위해, 매일 3억 건 이상의 유저 데이터가 유입되는 환경에서 데이터 분산처리 플랫폼을 구축/ 운영하고 있습니다.
DevOps 팀은 높은 자율성과 소수정예의 전문가로 무장한 팀으로, 2012년부터 시작된 무중단 서비스를 이어가는 도전은 현재까지도 실현 중입니다.

다음 도전들을 우리와 함께 하시게 됩니다.
• 서비스와 비즈니스 현황을 분석하여 인사이트를 도출하고, 의사결정을 위한 정량적 지표와 분석 결과를 제공합니다.
• 고객 행동 데이터를 분석하여 전략을 수립하고, 제품 개선을 위해 데이터 기반 해결 방안을 제시합니다.
• 데이터 엔지니어와 협력하여 데이터 표준화・메타데이터 관리 등 데이터 거버넌스 체계를 구축하고, 데이터 관리를 수행합니다.","자격요건
• 서비스 데이터 분석 : B2C, B2B SAAS 등 광고 도메인과 다양한 데이터 분석 기법에 대한 깊은 이해와 활용 경험 및 SQL, BigQuery, Python을 사용한 데이터 분석 및 모델링에서 5년 이상의 실무 경험
• 데이터 시각화 : Redash, Looker Studio 등을 활용하여 복잡한 데이터를 시각화하고, 스토리텔링을 통해 효과적으로 의사소통하는 능력
• 통계적 지식 : 회귀 분석, 분산 분석, 베이지안 통계 등 다양한 통계 기법에 대한 깊이 있는 이해와 실무 경험 보유
• 문제 해결 능력 : 복잡한 비즈니스 문제를 데이터 기반으로 정의하고 해결하며, 결과를 명확하게 전달하는 능력
• 협업 능력 : 다양한 부서와 협업하여, 데이터 기반 의사결정을 지원하는 능력","우대사항
• 데이터 기반 매출/수익/전환율 개선・B2B SaaS 서비스 분석・광고/요금 체계 최적화・KPI 설정 및 모니터링 체계 구축 경험
• 지표 성장을 위해 다양한 가설을 설정하고, A/B 테스트를 통해 실험하며, 빠른 이터레이션 지원을 통해 서비스 성과를 개선한 경험
• AWS/GCP 환경의 데이터 웨어하우스, 마트 구축・Airflow/Kafka 활용 데이터 파이프라인 구축・데이터 표준화 및 품질 관리 체계 수립 경험
• 예측/추천 시스템 개발 및 서비스 적용・LLM/TensorFlow 활용 모델 개발・MLOps 파이프라인 구축 경험
• Product Analytics(Airbridge・GA) 도구 활용・Tableau/Superset/Redash 등 BI 도구로 대시보드를 구축한 경험
• GDPR 등 데이터 보호 규정 기반 데이터 관리 체계 운영 경험"
Data Analyst (6년 이하),마인이스(차란),서울 성동구,경력 1-6년,"주요업무
• 비즈니스 문제 해결
프로덕트 및 커머스 데이터를 분석하여 주요 문제를 파악하고, 비즈니스 성장을 위한
인사이트와 전략을 제시합니다.

• 데이터 기반 의사결정
고객 관점에서 주요 지표를 기반으로, 신규 기능, 프로젝트들의 성과를 측정하고
개선하기 위한 전략을 제시합니다.

• 데이터 시각화 및 대시보드 구축
전사가 모두 쉽게 데이터를 활용할 수 있도록 대시보드를 개발하고, 모니터링합니다.

• 가설 검증 및 실험 설계
A/B 테스트와 가설 검증을 통해 서비스를 고도화합니다.","자격요건
• 데이터 기반 문제 해결 능력
복잡하고 정리되어 있지 않은 문제 해결을 위한 데이터 기반 사고와 비판적 의사결정
능력을 보유하신 분

• 커머스 및 프로덕트 분석 경험
사용자 행동 분석, 코호트 분석, A/B 테스트 등의 방법론을 사용한 경험이 있는 분

• Python, R 등 통계 분석 경험
데이터 처리 및 분석을 위한 Python, R 등을 활용한 경험이 있는 분.

• 통계학 기본 지식을 보유한 분

• 논리적 사고 및 소통 능력
분석 결과를 논리적으로 풀어내고, 이해관계자에게 명확하게 전달할 수 있는 커뮤니케이션
스킬을 보유하신 분","우대사항
• 이커머스, 중고거래 등 관련 분야의 데이터 분석 경험을 보유한 분
• SQL을 통한 데이터 추출 및 가공에 능숙하고, 다양한 분석 툴을 사용한 실무 경험이 있는 분
(분석툴 : Tableau, Redash, Metabase 등)"
데이터 분석가 - 데이터분석팀,카카오페이(kakaopay),경기 성남시,경력 8-10년,"주요업무
담당 조직 내 분석가들과 협업하여 데이터 분석 및 활용 전략을 수립하고 서비스 의사결정에 관여해요.
서비스 지표 수립, 가설 도출과 검증, 마케팅 전략 등 분석 프레임워크를 설계하고 서비스 오너들과 협의하여 인사이트를 도출해요.
데이터분석가로서 사용자 경험 개선과 비즈니스 목표 달성을 위한 지표설정과 분석을 수행하고 인사이트를 발굴해요.
사용자의 서비스 이용현황을 다양한 관점에서 분석하고 주요 지표를 변화를 모니터링해요.
사용자 습관과 아하모먼트(Ahamoment)를 탐색하여 유저 리텐션을 개선하고 유저 가치를 향상시키는 요인을 찾아요.","자격요건
총 경력 8년 이상이신 분을 원해요.
데이터 기반으로 서비스 품질 향상 및 마케팅 성과에 기여한 경험이 있으신 분을 원해요.
문제 해결을 위한 가설 수립 및 검증이 가능하고, 이를 논리적으로 설명 가능하신 분을 찾고 있어요.
SQL/R/Python 을 활용한 데이터 추출/가공/분석/리포팅이 가능하신 분을 찾고 있어요.
다양한 직군의 실무자 및 경영진에 맞는 데이터에 기반한 커뮤니케이션이 가능하신 분이 필요해요.
스스로의 생각과 호기심을 비즈니스 측면의 관점으로 전환하고, 이를 데이터에 접목시켜본 경험이 있으신 분이면 좋겠어요.
데이터 품질/활용도 향상에 대한 고민과 현황 개선을 위해 끊임없이 강구하는 자세를 보유하신 분을 찾고 있어요.","우대사항
유저-서비스간 상호작용의 전 단계를 체계화하고 인사이트를 도출할 수 있는 분이면 좋아요.
도메인에 대한 이해를 바탕으로 데이터 기반으로 적극적인 제안을 하실 수 있는 분이면 좋아요.
분석가의 작업 프로세스 전반과 관심사를 잘 이해하고 더 잘 일하기 위해 함께 고민할 수 있는 분이면 좋아요.
AB테스트 기반 가설검증 및 모바일 서비스 데이터 분석 방법(LTV, AARRR, Cohort, Funnel 등)을 깊게 활용한 경험이 있으신 분을 선호해요.
통계, 산업공학 등 데이터 관련 공학을 전공하신 분을 선호해요.
분석업무 관련 포트폴리오를 제출해주신 분을 선호해요.
타 분석가와 협업하거나 분석 프로젝트를 리딩하신 경험이 있는 분이면 더 좋아요."
Data Analyst (Junior),와드(캐치테이블),경기 성남시,경력 3년 이상,"주요업무
[프로덕트 문제 진단 및 해결]
• 현재 프로덕트의 문제를 찾고 개선을 위한 최적의 솔루션 도출
• 목표를 달성하기 위한 지표와 가설을 설정하고 이를 검증할 수 있는 데이터 분석 및 A/B 테스트를 설계
• 핵심 프로덕트 지표를 설계 및 도식화
• 데이터 기반 의사결정을 위해 PM, Business Owner, Engineer 등의 이해관계자들과 협업
• 로깅, 추출, 분석 등 데이터 로그 설계와 관리 (QA)","자격요건
• DA 경력 3년 이상 혹은 이에 준하는 경력
• 원천 데이터 정제부터 문제 정의, 인사이트 도출 및 액션아이템 제시까지 데이터 분석 전반의 과정을 수행할 수 있는 분
• 코호트 분석, A/B 테스트, Funnel 분석 등의 분석 방법론에 대한 이해 & 실무 적용 경험이 있는 분
• 최소 1개 이상의 데이터 시각화 툴(Superset, Redash, Tableau 등)을 사용하실 수 있는 분","우대사항
• 스타트업의 조직문화를 이해하고 함께 성장하고자 하는 목표를 지닌 분
• A/B 테스트 기반의 실험문화를 만들었던 경험이 있거나 이에 관심이 많으신 분
• Python, R 등을 활용한 데이터 분석에 대한 이해도가 높으신 분
• 데이터 마트 및 데이터 파이프라인 구축 또는 유저 행동 로그 설계 경험이 있는 분"
